matchNumber,alliance,scouterInitials,selectTeam,startPoses0,startPoses1,startPoses2,startPoses3,startPoses4,startPoses5,autoCoralPlaceL1Count,autoCoralPlaceL2Count,autoCoralPlaceL3Count,autoCoralPlaceL4Count,autoCoralPlaceDropMissCount,autoCoralPickPreloadCount,autoCoralPickStationCount,autoCoralPickMark1Count,autoCoralPickMark2Count,autoCoralPickMark3Count,autoAlgaePlaceNetShot,autoAlgaePlaceProcessor,autoAlgaePlaceDropMiss,autoAlgaePickReefCount,autoAlgaePickMark1Count,autoAlgaePickMark2Count,autoAlgaePickMark3Count,autoPassedStartLine,teleopCoralPlaceL1Count,teleopCoralPlaceL2Count,teleopCoralPlaceL3Count,teleopCoralPlaceL4Count,teleopCoralPlaceDropMissCount,teleopCoralPickStationCount,teleopCoralPickCarpetCount,teleopAlgaePlaceNetShot,teleopAlgaePlaceProcessor,teleopAlgaePlaceDropMiss,teleopAlgaePickReefCount,teleopAlgaePickCarpetCount,shallowClimbAttempted,deepClimbAttempted,parkAttempted,climbFailed,playedDefense,brokeDown,comment
1,blueAlliance,MTAT,2607,false,false,false,false,true,false,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,true,4,1,2,6,0,13,0,0,0,0,0,0,false,true,false,false,false,false,
2,blueAlliance,MTAT,3637,true,false,false,false,false,false,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,true,0,2,2,3,3,10,0,0,0,0,0,0,false,false,true,false,false,false,started climing a little early but didnt really work
3,blueAlliance,MTAT,1257,false,false,false,false,true,false,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,true,0,6,9,0,0,15,0,0,0,0,0,0,false,false,false,false,false,false,very fast
4,blueAlliance,MTAT,484,false,false,false,false,true,false,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,true,0,0,0,10,1,11,0,0,0,0,0,0,false,false,true,false,false,false,got stuck on algae for a hot second
5,blueAlliance,WYYY,56,false,false,true,false,false,false,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0,0,0,0,false,true,false,true,true,false,
6,blueAlliance,MTAT,75,false,false,true,false,false,false,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,true,1,1,4,0,1,7,0,0,0,0,0,0,false,false,false,false,false,false,it seems like they need to align a specific way at the coral station before they intake
7,blueAlliance,MTAT,293,false,false,false,false,true,false,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,true,0,4,1,3,0,8,0,0,0,0,0,0,false,false,true,false,false,false,"tried climbing at 23 seconds, couldnt get it"
8,blueAlliance,MTAT,10143,false,false,true,false,false,false,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,true,false,"tried playing defense, was too light, got stuck on algae☹"
8,blueAlliance,MTAT,10143,false,false,true,false,false,false,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,true,false,"kitbot, played defense, too light got kicked, and got stuck on algae (this might be my 2nd entry)"
9,blueAlliance,MTAT,2554,false,false,true,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,2,4,0,1,7,0,0,2,0,0,2,false,false,false,false,false,false,
10,blueAlliance,LB,103,false,false,true,false,false,false,0,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,true,2,0,0,0,2,4,0,5,3,0,6,2,false,false,true,false,false,false,
11,blueAlliance,LB,484,false,false,false,true,false,false,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,true,0,1,6,4,3,14,0,0,0,1,1,0,false,false,true,false,false,false,
12,blueAlliance,LB,9094,false,false,true,false,false,false,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,true,0,1,3,0,1,5,0,5,0,0,5,0,false,true,false,false,false,false,
13,blueAlliance,LB,102,false,false,false,true,false,false,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,true,0,0,6,2,3,11,0,0,0,0,0,0,false,false,false,false,false,false,
14,blueAlliance,WYYY,2495,false,false,true,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,1,4,3,8,0,0,0,0,0,0,false,false,false,false,false,false,
15,blueAlliance,WYYY,1089,false,false,false,false,true,false,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,true,0,1,4,2,2,9,0,0,0,0,0,0,false,true,false,false,false,false,
16,blueAlliance,WYYY,2554,true,false,false,false,false,false,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,true,0,0,1,2,0,3,0,0,1,0,1,0,false,false,false,false,false,false,
17,blueAlliance,WYYY,2720,false,false,false,false,true,false,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,true,0,0,1,3,3,7,0,0,0,0,0,0,false,true,false,false,false,false,
18,blueAlliance,WYYY,5895,false,true,false,false,false,false,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,true,1,0,3,6,0,10,0,6,0,0,4,2,false,true,false,true,false,false,go but failed climb from back drive and such
19,blueAlliance,WYYY,293,false,false,true,false,false,false,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,0,3,3,1,7,0,0,0,0,0,0,false,true,false,false,false,false,
20,blueAlliance,WYYY,9015,false,true,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,true,"drive was not working, only saw the elevator raise and lower. "
21,blueAlliance,WYYY,341,false,true,false,false,false,false,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,true,2,6,6,1,0,1,14,0,1,1,1,1,false,true,false,false,false,false,
22,blueAlliance,WYYY,75,false,true,false,false,false,false,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,true,0,0,1,2,4,7,0,0,0,1,1,0,false,true,false,false,false,false,
23,blueAlliance,WYYY,3314,true,false,false,false,false,false,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,true,0,2,4,1,0,7,0,6,0,0,6,0,false,true,false,false,false,false,
24,blueAlliance,EL,222,false,false,false,false,true,false,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,true,0,0,2,7,2,11,0,0,0,0,0,0,false,true,false,false,false,false,
