matchNumber,alliance,teamNumber
0,red,frc2265
0,red,frc7045
0,red,frc2607
0,blue,frc1640
0,blue,frc7414
0,blue,frc316
1,red,frc5457
1,red,frc365
1,red,frc1155
1,blue,frc9999
1,blue,frc4342
1,blue,frc8714
2,red,frc555
2,red,frc2539
2,red,frc1218
2,blue,frc484
2,blue,frc694
2,blue,frc4575
3,red,frc9998
3,red,frc41
3,red,frc5401
3,blue,frc9015
3,blue,frc369
3,blue,frc1923
4,red,frc433
4,red,frc1640
4,red,frc2607
4,blue,frc341
4,blue,frc5457
4,blue,frc4342
5,red,frc7045
5,red,frc8714
5,red,frc7414
5,blue,frc2539
5,blue,frc4575
5,blue,frc9999
6,red,frc555
6,red,frc9998
6,red,frc694
6,blue,frc365
6,blue,frc2265
6,blue,frc41
7,red,frc1923
7,red,frc316
7,red,frc484
7,blue,frc1155
7,blue,frc9015
7,blue,frc433
8,red,frc1640
8,red,frc341
8,red,frc5401
8,blue,frc8714
8,blue,frc1218
8,blue,frc369
9,red,frc41
9,red,frc4342
9,red,frc7414
9,blue,frc5457
9,blue,frc555
9,blue,frc7045
10,red,frc9998
10,red,frc433
10,red,frc4575
10,blue,frc694
10,blue,frc316
10,blue,frc1155
11,red,frc9999
11,red,frc2265
11,red,frc9015
11,blue,frc1923
11,blue,frc1218
11,blue,frc341
12,red,frc369
12,red,frc5401
12,red,frc365
12,blue,frc2607
12,blue,frc2539
12,blue,frc484
13,red,frc694
13,red,frc5457
13,red,frc1640
13,blue,frc7414
13,blue,frc1155
13,blue,frc9998
14,red,frc8714
14,red,frc341
14,red,frc316
14,blue,frc41
14,blue,frc1923
14,blue,frc555
15,red,frc5401
15,red,frc9015
15,red,frc1218
15,blue,frc365
15,blue,frc433
15,blue,frc7045
16,red,frc484
16,red,frc9999
16,red,frc369
16,blue,frc4342
16,blue,frc4575
16,blue,frc2265
17,red,frc1155
17,red,frc8714
17,red,frc2539
17,blue,frc341
17,blue,frc2607
17,blue,frc9998
18,red,frc316
18,red,frc41
18,red,frc5457
18,blue,frc1218
18,blue,frc7414
18,blue,frc365
19,red,frc2265
19,red,frc694
19,red,frc1923
19,blue,frc7045
19,blue,frc5401
19,blue,frc4342
20,red,frc433
20,red,frc9999
20,red,frc555
20,blue,frc2539
20,blue,frc369
20,blue,frc1640
21,red,frc4575
21,red,frc2607
21,red,frc5457
21,blue,frc9015
21,blue,frc484
21,blue,frc41
