alliance,matchNumber,scouterInitials,selectTeam,noShow,closeRing1,closeRing2,closeRing3,farRing1,farRing2,farRing3,farRing4,farRing5,ampMadeCount,ampMissedCount,speakerMadeCount,speakerMissedCount,fedMadeCount,fedMissedCount,parked,parkFailed,climbed,climbFailed,trapMadeCount,trapMissedCount,comment
blue,4,EL,8714,False,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,2,0,0,0,0,0,False,False,True,False,0,0,
blue,5,EL,427,False,Picked And Shot,Picked And Shot,Picked And Shot,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,2,0,2,1,0,0,False,False,False,True,0,0,
blue,1,RK,2607,False,Picked And Shot,Picked And Shot,Picked And Shot,Not Picked,Failed Pick/Shot,Not Picked,Failed Pick/Shot,Failed Pick/Shot,0,0,3,1,0,0,True,False,False,True,0,0,
blue,2,RK,103,False,Picked And Shot,Picked And Shot,Not Picked,Not Picked,Not Picked,Not Picked,Picked And Shot,Not Picked,4,5,4,2,0,0,True,False,False,True,0,0,
blue,3,RK,708,False,Picked And Shot,Picked And Shot,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,0,0,3,0,0,0,False,True,False,False,0,0,
blue,4,RK,2559,False,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,0,0,0,2,0,0,True,False,False,False,0,0,
blue,5,RK,3314,False,Not Picked,Not Picked,Picked And Shot,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,0,2,0,0,0,0,False,False,True,False,0,0,"Quick movement, but slowed down; failed to shoot any nodes into the amp and played a bit of defense later on"
blue,7,RK,1640,False,Not Picked,Not Picked,Picked And Shot,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,2,0,1,1,0,0,False,False,True,False,0,0,Played good defense and was decent at amps; great job in climbing
blue,8,RK,2590,False,Not Picked,Not Picked,Picked And Shot,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,1,0,2,0,0,0,False,False,True,False,1,0,Very accurate with speakers; was very efficient in climbing and making a trap
blue,10,RK,11,False,Failed Pick/Shot,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,0,1,0,0,0,0,True,False,False,False,0,0,"Spent a lot of time on the amp, but failed to get any nodes in it; still managed to play a bit of defense "
blue,18,RK,2722,False,Not Picked,Not Picked,Picked And Shot,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,2,0,3,0,0,0,False,False,True,False,0,0,
blue,19,RK,9985,False,Picked And Shot,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,0,0,0,1,0,0,True,False,False,False,0,0,Struggled to score points; played some defense
blue,20,JP,5181,False,Picked And Shot,Picked And Shot,Failed Pick/Shot,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,0,0,6,0,0,0,False,False,False,True,0,0,"6808, not the robot I am scoring, their bumpers failed. My robot had reliant speaker scoring."
blue,23,RK,9094,False,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,0,0,0,0,0,0,True,False,False,False,0,0,stopped multiple times 
blue,24,RK,3314,False,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Picked And Shot,Not Picked,0,0,2,0,3,0,False,False,True,False,0,0,Good at long distance shooting. 
blue,25,RK,427,False,Not Picked,Failed Pick/Shot,Failed Pick/Shot,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,5,0,1,2,0,0,False,True,False,False,0,0,Very accurate with scoring amps and ok with speaker
blue,26,RK,103,False,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,Not Picked,0,0,0,1,0,0,False,False,True,False,0,0,Did a good job at passing nodes to teammates (main focus)
