Auto Shots Made Amp,Auto Shots Made Speaker,Auto Starting Position,Broke Down,Buddy Climb,Climbed,Comments,Event ID,Initials,Initials Fixed,Match Number,Pickup From Center Line,Shots Made Trap,Table Name,Taxi Off Starting Zone,Teleop Shots Made Amp,Teleop Shots Made Speaker,Total Telop Notes,Auto Amp Points,Auto Speaker Points,Lobbing,Match Team Number,Teleop Speaker Points,Total Auto Points,Total Points,Total Teleop Points
0,0,,0,0,0,They did good amp but failed to make consistent speaker shots. The bot moved well.,2024mrcmp,RA,RA,1,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,4,0,4,0,0,,1257,0,0,4,4
0,4,,0,0,0,,2024mrcmp,TB,TB,1,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,1,5,6,0,20,,1640,10,22,33,11
0,0,,0,0,1,,2024mrcmp,ME,ME,1,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,4,0,4,0,0,,2607,0,2,9,7
0,1,,0,0,1,,2024mrcmp,VC,VC,1,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,5,5,0,5,,3142,10,7,20,13
0,1,,0,0,0,,2024mrcmp,SJ,SJ,1,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,2,2,0,5,,321,4,7,11,4
0,1,,0,0,1,Good amp,2024mrcmp,TB,TB,1,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,5,3,8,0,5,0,365,6,7,21,14
0,1,,0,0,0,,2024mrcmp,SF,SF,1,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,0,2,2,0,5,,4573,4,5,9,4
0,3,,0,0,0,,2024mrcmp,LB,LB,2,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,5,2,7,0,15,,3314,4,17,26,9
0,1,,0,0,1,,2024mrcmp,TB,TB,2,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,0,6,6,0,5,,7045,12,7,22,15
0,1,,0,0,1,Failed to trap,2024mrcmp,VC,VC,2,0,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,0,2,2,4,0,5,,8513,4,5,14,9
0,1,,0,0,0,,2024mrcmp,ME,ME,2,1,0,Crescendo_FIRST_Mid-Atlantic_District_Championship_2024_raw_export.csv,1,3,3,6,0,5,,341,6,7,16,9
