matchNumber,alliance,teamNumber
0,redAlliance,1391
0,redAlliance,4342
0,redAlliance,1923
0,blueAlliance,5895
0,blueAlliance,1640
0,blueAlliance,4285
1,redAlliance,1391
1,redAlliance,4342
1,redAlliance,1923
1,blueAlliance,5895
1,blueAlliance,1640
1,blueAlliance,4285
2,redAlliance,1391
2,redAlliance,4342
2,redAlliance,1923
2,blueAlliance,5895
2,blueAlliance,1640
2,blueAlliance,4285
3,redAlliance,2607
3,redAlliance,4573
3,redAlliance,3142
3,blueAlliance,1257
3,blueAlliance,321
3,blueAlliance,1640
4,redAlliance,484
4,redAlliance,2722
4,redAlliance,6921
4,blueAlliance,223
4,blueAlliance,5895
4,blueAlliance,222
5,redAlliance,3314
5,redAlliance,1676
5,redAlliance,2590
5,blueAlliance,321
5,blueAlliance,2607
5,blueAlliance,1391
6,redAlliance,1640
6,redAlliance,1923
6,redAlliance,4285
6,blueAlliance,75
6,blueAlliance,7045
6,blueAlliance,223
7,redAlliance,365
7,redAlliance,56
7,redAlliance,2722
7,blueAlliance,2539
7,blueAlliance,1168
7,blueAlliance,7110
8,redAlliance,293
8,redAlliance,1811
8,redAlliance,5401
8,blueAlliance,1279
8,blueAlliance,5181
8,blueAlliance,1403
9,redAlliance,3142
9,redAlliance,1807
9,redAlliance,9027
9,blueAlliance,1089
9,blueAlliance,4361
9,blueAlliance,316
10,redAlliance,2191
10,redAlliance,6921
10,redAlliance,11
10,blueAlliance,102
10,blueAlliance,1218
10,blueAlliance,4342
11,redAlliance,272
11,redAlliance,7414
11,redAlliance,6226
11,blueAlliance,834
11,blueAlliance,5992
11,blueAlliance,9094
12,redAlliance,1676
12,redAlliance,5438
12,redAlliance,2607
12,blueAlliance,2495
12,blueAlliance,222
12,blueAlliance,8513
13,redAlliance,9015
13,redAlliance,4573
13,redAlliance,555
13,blueAlliance,2720
13,blueAlliance,1391
13,blueAlliance,5895
14,redAlliance,714
14,redAlliance,2590
14,redAlliance,427
14,blueAlliance,3314
14,blueAlliance,3637
14,blueAlliance,1257
15,redAlliance,1807
15,redAlliance,834
15,redAlliance,4573
15,blueAlliance,1923
15,blueAlliance,3142
15,blueAlliance,7045
16,redAlliance,103
16,redAlliance,321
16,redAlliance,484
16,blueAlliance,5684
16,blueAlliance,219
16,blueAlliance,341
17,redAlliance,7110
17,redAlliance,75
17,redAlliance,9027
17,blueAlliance,56
17,blueAlliance,3142
17,blueAlliance,1168
18,redAlliance,1403
18,redAlliance,1089
18,redAlliance,2722
18,blueAlliance,2191
18,blueAlliance,4285
18,blueAlliance,1218
19,redAlliance,834
19,redAlliance,293
19,redAlliance,316
19,blueAlliance,365
19,blueAlliance,11
19,blueAlliance,4342
20,redAlliance,1279
20,redAlliance,6226
20,redAlliance,102
20,blueAlliance,1640
20,blueAlliance,1676
20,blueAlliance,272
21,redAlliance,6921
21,redAlliance,1811
21,redAlliance,5895
21,blueAlliance,9094
21,blueAlliance,4361
21,blueAlliance,1807
22,redAlliance,5401
22,redAlliance,2539
22,redAlliance,3637
22,blueAlliance,2607
22,blueAlliance,7045
22,blueAlliance,2720
23,redAlliance,219
23,redAlliance,484
23,redAlliance,223
23,blueAlliance,4573
23,blueAlliance,3314
23,blueAlliance,2495
24,redAlliance,222
