matchNumber,teamNumber,initials,autoSpeakerMade,autoSpeakerMissed,autoAmpMade,autoAmpMissed,teleopAmpMade,teleopAmpMissed,teleopSpeakerMade,teleopSpeakerMissed,notesFed,trapMade,trapMissed,climbed,buddyClimb,brokeDown,comments
1,1257,RA,0,0,0,0,4,0,0,0,,0,0,0,0,0,They did good amp but failed to make consistent speaker shots. The bot moved well.
1,1640,TB,4,0,0,0,1,0,5,0,,0,0,0,0,0,
1,2607,ME,0,0,0,0,4,0,0,0,,0,0,1,0,0,
1,3142,VC,1,0,0,0,0,0,5,0,,0,0,1,0,0,
1,321,SJ,1,0,0,0,0,0,2,0,,0,0,0,0,0,
1,365,TB,1,0,0,0,5,0,3,0,0,0,0,1,0,0,Good amp
1,4573,SF,1,0,0,0,0,0,2,0,,0,0,0,0,0,
2,3314,LB,3,0,0,0,5,0,2,0,,0,0,0,0,0,
2,7045,TB,1,0,0,0,0,0,6,0,,0,0,1,0,0,
2,8513,VC,1,0,0,0,2,0,2,0,,0,0,1,0,0,Failed to trap
2,341,ME,1,0,0,0,3,0,3,0,,0,0,0,0,0,
2,2191,SF,0,0,0,0,2,0,0,0,,0,0,1,0,0,
3,1089,TB,1,0,0,0,4,0,1,0,,0,0,0,0,0,
3,2539,RA,4,0,0,0,0,0,2,0,,1,0,1,0,0,almost got a centerline in the auto. They can shoot almost instantly after stopping.
3,834,SF,1,0,0,0,0,0,5,0,,0,0,1,0,0,
3,2720,LB,1,0,0,0,0,0,2,0,,0,0,0,0,0,
3,1676,ME,1,0,0,0,3,0,3,0,,0,0,1,0,0,
3,1807,LB,2,0,0,0,0,0,2,0,,0,0,1,1,0,
3,5181,VC,1,0,0,0,0,0,5,0,,0,0,1,1,0,
4,2495,TB,1,0,0,0,0,0,6,0,,0,0,1,1,0,
4,5401,ME,0,0,0,0,0,0,6,0,,0,0,0,0,0,
4,1218,VC,2,0,0,0,1,0,5,0,,0,0,1,0,0,
4,1923,RA,1,0,0,0,9,0,8,0,,0,0,1,0,0,There auto was interupted by allies.
4,9027,SF,1,0,0,0,0,0,3,0,,0,0,1,0,0,
5,7110,CH,1,0,0,0,0,0,5,0,,0,0,1,0,0,
5,293,MI,0,0,0,0,1,0,1,0,,0,0,0,0,0,Not sure about auto match 5 red 2
5,1279,SG,2,0,0,0,0,0,11,0,,0,0,0,0,0,
5,103,WL,1,0,0,0,0,0,3,0,,0,0,1,0,0,Amazing kept shooting notes for teammates to shoot in the speaker/amp
5,5438,LB,0,0,0,0,0,0,0,0,,0,0,0,0,0,Didn't make it to the match
5,555,RA,3,0,0,0,1,0,4,0,,0,0,0,0,0,Picked up a fourth auto note but did not fire despite being in position to. Missed a lot of shots on the speaker and one in the auto.
6,11,,0,0,1,0,5,0,0,0,,0,0,1,0,0,Tried to pick up from center line but failed. Tried to trap but failed. They are a very good amp bot.
6,1391,SG,0,0,0,0,0,0,4,0,,0,0,1,0,0,Picked up and fed notes to teammates
6,1403,WL,2,0,0,0,5,0,2,0,,0,0,1,1,0,
6,6226,CH,0,0,0,0,0,0,0,0,,0,0,1,0,0,Brought notes to people
6,4361,MI,0,0,0,0,0,0,4,0,,0,0,1,1,0,
6,9094,LB,2,0,0,0,0,0,8,0,,0,0,1,0,0,
7,427,SG,3,0,0,0,3,0,4,0,,0,0,0,0,0,
7,3637,MI,2,0,0,0,0,0,4,0,,0,0,0,0,0,
7,1811,RA,1,0,0,0,0,0,5,0,,0,0,0,0,0,Tank drive! Good touch it own it intake.
7,316,,1,0,0,0,3,0,5,0,,0,0,0,0,0,
7,219,CH,3,0,0,0,0,0,7,0,,0,0,0,0,0,
7,9015,LB,1,0,0,0,4,0,0,0,,0,0,0,0,0,
8,56,CH,1,0,0,0,0,0,8,0,,0,0,1,0,0,
8,5992,RA,0,0,0,0,6,0,0,0,,0,0,0,0,0,Missed every auto shot. Comically talk which makes them very unstable.
8,75,SG,0,0,0,0,0,0,2,0,,0,0,1,1,0,Fed notes to alliance
8,714,LB,2,0,0,0,0,0,4,0,,0,0,1,0,0,
8,4285,WL,0,0,0,0,0,0,5,0,,0,0,0,0,0,
8,4342,MI,1,0,0,0,4,0,3,0,,0,0,1,1,0,
9,5684,AV,1,0,0,0,1,0,3,0,0,0,0,0,0,0,
9,102,CJ,0,0,0,0,4,0,0,0,0,0,0,0,0,0,
9,2590,AO,4,0,0,0,0,0,4,0,1,0,0,1,0,0,
9,1168,RA,3,0,0,0,4,0,5,0,0,0,0,0,0,0,They have a good scoring bot but they move around the field very slowly.
9,7414,SJ,3,0,0,0,0,0,8,0,0,0,0,0,0,0,
9,365,DD ,1,0,0,0,3,0,4,0,0,0,0,1,1,0,
10,222,AO,0,0,0,0,0,0,3,0,0,1,0,1,0,0,
10,223,RA,2,0,0,0,3,0,1,0,0,0,0,1,0,0,Did very well at the end but took a while to get going. Did not miss any shots was very accurate slow moving across the field.
10,6921,CJ,2,0,0,0,1,0,4,0,0,0,0,1,0,0,
10,5895,DD,2,0,0,0,5,0,5,0,0,0,0,1,0,0,
10,2722,SJ,1,0,0,0,2,0,3,0,0,0,0,0,0,0,Tried harmony bonus but failed to climb enough height
